YearsExperience,Salary
4.620677117165208,69457.42485548957
10.036714480253211,120638.7738682641
7.980743053027208,101209.92134699016
6.727389751452144,89365.77987163447
2.5665752201589034,50046.239324350594
2.566348491160305,50044.09674385666
1.645985954381075,41346.70544921413
9.242055770284392,113129.27900064267
6.750481110386163,89583.99234351216
7.755882231282827,99084.99505393434
1.293494246380543,38015.67208998375
10.217152610322747,122343.90739877503
8.924960823523964,110132.74370143282
3.095987640375796,55049.166747910574
2.809154691746746,52338.60619081419
2.824002392622278,52478.916404648204
3.959877083819655,63212.88943835784
6.032710457343036,82801.08671680841
5.160283175235888,74556.6817726864
3.837553917861594,62056.94012901306
6.851417210390368,90537.83468542653
2.411242290129193,48578.34898828862
3.8461596962310507,62138.26441035122
4.543801326960702,68730.95153462491
5.387057851640138,76699.69392016673
8.480654037094329,105934.06131050597
2.976933552288582,53924.1101012712
5.9338037210879495,81866.42178585974
6.6686969473032,88811.13508388642
1.5366338795679786,40313.33246245743
6.810921607873521,90155.15276745768
2.7029267626605407,51334.75626346335
1.7114849740616276,41965.6687172876
10.019524050181332,120476.32495179524
10.176941110900858,121963.91024434895
8.698935072294734,107996.80886863802
3.9633694302296845,63245.89198034609
2.0181178716600083,44863.33804611088
7.5317904492142755,96967.33615683879
5.237433441152252,75285.74887868628
2.247159407540921,47027.77193023371
5.754662955045941,80173.54829652616
1.423252098483053,39241.87890326542
9.64761177954055,116961.76800735305
3.532531827040159,59174.49286353906
7.327709472927431,95038.77862040234
4.030084115240463,63876.34323998568
5.988639399071422,82384.61687667499
6.239076625826829,84751.23923340329
2.8376318819399544,52607.71456516092
10.21409550098685,122315.01783073824
8.386248539594478,105041.93291619416
9.931290050703378,119642.51698125729
9.511377094019899,115674.35536230761
6.7202598008242,89298.40210684658
9.765617809217298,118076.92054150283
1.9318295192880433,44047.916367415375
2.942238906739965,53596.247008080536
1.525136515759058,40204.682807667064
4.158105109174685,65086.136809019314
4.7535665230811315,70713.22473431559
3.6506808986746218,60290.99713879963
8.890132586028136,109803.61816937455
4.45348127091974,67877.43040816611
3.7407843910613794,61142.471746885996
6.201343181687536,84394.65960802825
2.424687714762769,48705.40774447187
8.640651619087974,107446.03243186984
1.8007760505898458,42809.466026121416
10.376737204044863,123851.97579653373
8.35910083138858,104785.38809653459
2.9679274064212207,53839.00236216311
1.1519079009618627,36677.686460544704
8.765337427475442,108624.30862315159
7.744459032167601,98977.04625270497
7.9526673795852805,100944.60729081447
8.34994125884789,104698.83048114442
1.7960197263004494,42764.518940798
4.469577848316163,68029.54245806669
2.1891691595362195,46479.76627157745
9.21317220323058,112856.33038027491
6.959002392179045,91554.5105996764
4.2104414336149025,65580.71310302282
1.6974484926886224,41833.02449718689
4.0232338241272245,63811.60824707458
4.1567232270514225,65073.07807502179
7.958298076377803,100997.81716334734
7.093040230739003,92821.1631237173
9.43979978021747,114997.95244380369
5.538820296522324,78133.84330611529
2.224185911820036,46810.67326127924
7.8045009998961525,99544.4405854458
8.251379456998837,103767.42516733614
6.376005657153264,86045.21342015146
8.347091491572874,104671.9002877706
5.741678605825273,80050.84668562224
6.013688596190745,82621.3308456353
5.118885572570367,74165.47598729865
1.338939791394495,38445.13077804359
2.114179413737062,45771.11599927991
1.395434345455302,38979.00218528562
7.082257865879535,92719.27018205915
4.05494622211747,64111.2892132054
5.880564496948207,81363.31312371566
9.631124854905273,116805.96719075301
3.443346953999425,58331.69917366037
4.95759947653492,72641.3284567891
8.202180702304657,103302.49878921364
3.2507027556212513,56511.21875753971
1.8236111523906542,43025.25687774565
3.8236636573894196,61925.67769091582
2.615480100187642,50508.388597957455
9.839157932020187,118771.87193110531
8.69633156790552,107972.20585025621
7.053995311197982,92452.1901052104
9.291729547764547,113598.69432619447
8.654517522851677,107577.06469998976
2.853758553528737,52760.11100404539
9.49005458580579,115472.85846308537
6.169817074007117,84096.73907830616
8.689937458542188,107911.78175769345
9.523258219280835,115786.63154835995
4.089232664735521,64435.2948040827
2.1344880905601618,45963.032230056815
3.242590527894252,56434.5585111765
5.11481321308681,74126.99234361963
8.789338799671436,108851.12068606695
9.190867482609628,112645.55161081634
1.1653500269931927,36804.714045061024
5.901024644229118,81556.6607446117
5.023663429598523,73265.63032404652
3.1878134184248643,55916.91689061257
2.2267344529366184,46834.75687880562
4.273582611194103,66177.39485207856
9.96335121677768,119945.49379264135
4.138107560995099,64897.16073220074
5.976631844387642,82271.14593734047
7.708378213614672,98636.08387685253
4.5181182623653635,68488.24754189946
10.23475157757703,122510.21697622453
10.147004572455845,121681.0110840088
3.4667535807584233,58552.89091460526
5.774135955388424,80357.5674160483
3.928256112277635,62914.07244871795
3.777500647148196,61489.43898349131
1.4467373051326085,39463.8132212153
6.829904739411031,90334.5426452304
5.825182818351298,80839.95834767594
1.5839002617499,40759.997993148085
3.7192767638241477,60939.22547987026
9.637699328086544,116868.09571459943
3.351881772269541,57467.356652587914
2.462011797657497,49058.118921509915
5.700855946609092,79665.07409416774
10.365114268639646,123742.13949488974
3.375319552208104,57688.842789905895
7.418074145615259,95892.72137249295
8.259224384089945,103841.55943276169
3.333792913528557,57296.4176190475
